python_tag,benchmark,class,mode,threads,rep,timeout
3.14t,EP,W,3,1,1,7200
3.15t,EP,W,3,1,1,7200
3.14t,EP,W,3,8,1,7200
3.15t,EP,W,3,8,1,7200
3.14t,EP,W,3,16,1,7200
3.15t,EP,W,3,16,1,7200
3.14t,EP,W,3,32,1,7200
3.15t,EP,W,3,32,1,7200
3.14t,FT,W,3,1,1,7200
3.15t,FT,W,3,1,1,7200
3.14t,FT,W,3,8,1,7200
3.15t,FT,W,3,8,1,7200
3.14t,FT,W,3,16,1,7200
3.15t,FT,W,3,16,1,7200
3.14t,FT,W,3,32,1,7200
3.15t,FT,W,3,32,1,7200
3.13t,CG,W,3,1,1,7200
3.14t,CG,W,3,1,1,7200
3.15t,CG,W,3,1,1,7200
3.13t,CG,W,3,8,1,7200
3.14t,CG,W,3,8,1,7200
3.15t,CG,W,3,8,1,7200
3.13t,CG,W,3,32,1,7200
3.14t,CG,W,3,32,1,7200
3.15t,CG,W,3,32,1,7200
3.13t,IS,W,3,1,1,7200
3.14t,IS,W,3,1,1,7200
3.15t,IS,W,3,1,1,7200
3.13t,IS,W,3,8,1,7200
3.14t,IS,W,3,8,1,7200
3.15t,IS,W,3,8,1,7200
3.13t,IS,W,3,32,1,7200
3.14t,IS,W,3,32,1,7200
3.15t,IS,W,3,32,1,7200
3.13t,MG,W,3,1,1,7200
3.14t,MG,W,3,1,1,7200
3.15t,MG,W,3,1,1,7200
3.13t,MG,W,3,8,1,7200
3.14t,MG,W,3,8,1,7200
3.15t,MG,W,3,8,1,7200
3.13t,MG,W,3,32,1,7200
3.14t,MG,W,3,32,1,7200
3.15t,MG,W,3,32,1,7200
