benchmark,klass,mode,threads,total,pct_compute,pct_sync,pct_init,pct_other,sync_of_parallel,n_workers,worker_cv,worker_balance
CG,S,1,1,56888,85.38883420053439,0.08437631837997468,12.962311911123612,1.5644775699620306,0.09871668311944717,0,0.0,1.0
CG,S,1,4,65217,83.25896622046399,10.903598754925863,4.945029670178021,0.8924053544321265,11.579547304999185,2897,1.073170184751286,0.017543859649122806
CG,S,1,8,346512,77.12085007157039,18.898912591771712,3.0322182204368104,0.9480191162210833,19.68231546044722,4859,0.8705003508805764,0.004329004329004329
EP,S,1,1,131313,98.05198266736728,0.002284617669233054,1.3700090623167547,0.5757236526467295,0.002329952313642647,0,0.0,1.0
EP,S,1,4,132018,97.44883273493008,0.9900165128997561,1.0983350755200048,0.4628156766501538,1.0057172757142747,3,0.01282247037052676,0.9705112814356511
EP,S,1,8,190131,82.77556000862563,16.14045053147567,0.7957671289794931,0.28822233091920835,16.317328654224493,7,0.09286195898055974,0.7605921388463501
EP,S,1,16,237109,91.51487290655352,7.510048121328166,0.7161263385194151,0.2589526335988933,7.583998091968808,15,0.059195333572669,0.799604662258878
FT,S,1,1,109784,97.81297821176128,0.005465277271733586,1.5120600451796256,0.6694964657873643,0.005587164420936967,0,0.0,1.0
FT,S,1,4,150429,89.47809265500668,8.826090713891602,1.20389020734034,0.4919264237613758,8.97834701578328,113,0.42362054459419174,0.0007331378299120235
FT,S,1,8,256298,81.7181562087882,17.198729603820553,0.7534198472091082,0.32969434018213173,17.387051222379124,246,0.31772430701973453,0.0008230452674897119
FT,S,1,16,433137,73.64852229202307,25.595135026562033,0.4698282529546079,0.2865144284602793,25.790197296335325,533,0.48988352803914353,0.0007513148009015778
MG,S,1,1,6704,81.20525059665871,0.029832935560859187,12.097255369928401,6.6676610978520285,0.03672420124862284,0,0.0,1.0
MG,S,1,4,11510,80.66898349261511,8.705473501303215,6.429192006950478,4.19635099913119,9.74044911052785,207,1.2498071382030738,0.007692307692307693
MG,S,1,8,22584,78.07297201558626,15.967056323060573,3.5954658165072617,2.3645058448459086,16.978999905829173,422,1.1557180015168598,0.007246376811594203
